doc_id,category,text,source
D001,설비진동,모터에서 평소보다 큰 진동이 감지되었습니다. 베어링과 축 정렬 상태를 점검해야 합니다.,maintenance_manual
D002,설비진동,펌프 진동이 6.2 mm/s까지 증가했습니다. 회전체 불균형 또는 베어링 마모 가능성을 확인합니다.,maintenance_manual
D003,설비진동,컨베이어 구동부의 진동값은 정상 범위이며 추가 점검이 필요하지 않습니다.,daily_report
D004,온도,프레스 설비의 베어링 온도가 82도까지 상승했습니다. 냉각 상태와 윤활 상태를 확인합니다.,alarm_log
D005,온도,냉각수 출구 온도가 빠르게 상승하면 열교환기 오염이나 유량 저하 여부를 점검합니다.,maintenance_manual
D006,온도,오븐 내부 온도는 목표값 180도에서 안정적으로 유지되고 있습니다.,daily_report
D007,압력,압축기 토출 압력이 기준값보다 높습니다. 밸브 개도와 배관 막힘 여부를 확인합니다.,alarm_log
D008,압력,진공 챔버 압력이 목표 진공도에 도달하지 못했습니다. 누설과 펌프 성능을 확인합니다.,maintenance_manual
D009,압력,공압 라인의 공급 압력은 6.0 bar로 정상 범위에 있습니다.,daily_report
D010,윤활,베어링 윤활유는 6개월 주기로 교체하며 오염도와 점도를 함께 확인합니다.,maintenance_manual
D011,윤활,감속기 오일 부족은 소음과 온도 상승의 원인이 될 수 있습니다.,maintenance_manual
D012,품질,용접 강도가 기준보다 낮아 전류와 가압 시간을 조정했습니다.,quality_report
D013,품질,비전 검사에서 위치 오차가 증가하여 카메라 캘리브레이션을 다시 수행했습니다.,quality_report
D014,품질,제품 외관 검사 결과 스크래치 불량률이 전주 대비 감소했습니다.,quality_report
D015,생산,라인 가동률은 91퍼센트이며 계획 생산량 대비 실적은 98퍼센트입니다.,production_report
D016,생산,설비 정지 시간이 증가하면서 시간당 생산량이 감소했습니다.,production_report
D017,전력,생산 라인의 전력 사용량이 전월 대비 8퍼센트 감소했습니다.,energy_report
D018,전력,대기 상태의 설비 전원을 자동으로 차단해 불필요한 전력 소비를 줄였습니다.,energy_report
D019,안전,비상 정지 버튼이 눌리면 설비 동작을 즉시 중단하고 원인을 확인해야 합니다.,safety_manual
D020,안전,작업자는 설비 내부 진입 전에 전원을 차단하고 잠금 절차를 수행해야 합니다.,safety_manual
